task_id,task_name,Correct(1) / Wrong(0),Correct(1) / Wrong(0),Correct(1) / Wrong(0),Correct(1) / Wrong(0),Correct(1) / Wrong(0)
279,b527c5c6,0,1,1,1,1
280,b548a754,1,1,1,1,1
281,b60334d2,1,1,1,1,1
282,b6afb2da,0,0,0,0,0
283,b7249182,1,1,1,1,1
284,b775ac94,1,1,0,1,1
285,b782dc8a,1,1,1,1,1
286,b8825c91,1,1,1,1,1
287,b8cdaf2b,0,0,0,0,0
288,b91ae062,1,1,1,1,1
289,b94a9452,1,1,1,1,1
290,b9b7f026,1,1,1,1,1
291,ba26e723,1,1,1,1,1
292,ba97ae07,1,1,1,1,1
293,bb43febb,1,1,1,1,1
294,bbc9ae5d,1,1,1,1,1
295,bc1d5164,1,0,0,0,0
296,bd4472b8,1,1,1,1,1
297,bda2d7a6,1,1,0,1,1
298,bdad9b1f,1,0,1,0,0
299,be94b721,1,1,0,0,0
300,beb8660c,0,0,0,0,0
301,c0f76784,0,1,0,0,0
302,c1d99e64,1,1,1,1,1
303,c3e719e8,1,1,1,1,0
304,c3f564a4,1,1,1,1,1
305,c444b776,1,0,0,0,0
306,c59eb873,1,1,1,1,1
307,c8cbb738,1,1,1,1,1
308,c8f0f002,0,0,0,0,0
309,c909285e,0,1,1,1,1
310,c9e6f938,1,1,1,1,1
311,c9f8e694,1,1,1,1,1
312,caa06a1f,1,1,1,1,1
313,cbded52d,1,1,1,1,1
314,cce03e0d,1,1,1,1,1
315,cdecee7f,0,1,1,0,0
316,ce22a75a,0,0,0,0,0
317,ce4f8723,1,1,1,1,1
318,ce602527,1,1,1,1,1
319,ce9e57f2,0,1,0,0,0
320,cf98881b,0,0,0,1,1
321,d037b0a7,0,1,1,1,1
322,d06dbe63,1,0,0,0,0
323,d07ae81c,1,1,1,1,1
324,d0f5fe59,1,1,1,1,1
325,d10ecb37,1,0,1,1,0
326,d13f3404,1,1,1,1,1
327,d22278a0,1,0,1,1,1
328,d23f8c26,1,1,1,0,1
329,d2abd087,1,1,1,1,1
330,d364b489,1,0,0,0,1
331,d406998b,0,0,1,0,1
332,d43fd935,1,1,1,1,1
333,d4469b4b,1,1,1,1,1
334,d4a91cb9,0,0,0,0,0
335,d4f3cd78,0,0,0,0,0
336,d511f180,1,1,1,1,1
337,d5d6de2d,1,1,1,1,1
338,d631b094,0,0,0,0,0
339,d687bc17,0,1,1,1,1
340,d6ad076f,0,0,0,0,0
341,d89b689b,0,0,0,0,0
342,d8c310e9,1,1,1,1,0
343,d90796e8,1,0,0,0,0
344,d9f24cd1,0,1,0,1,0
345,d9fac9be,1,1,1,1,1
346,dae9d2b5,0,0,0,0,0
347,db3e9e38,0,0,0,0,0
348,db93a21d,0,0,0,0,0
349,dbc1a6ce,1,1,1,0,1
350,dc0a314f,1,1,1,1,1
351,dc1df850,1,1,1,1,1
352,dc433765,1,1,1,1,1
353,ddf7fa4f,1,1,1,1,1
354,de1cd16c,1,1,1,1,1
355,ded97339,1,1,1,1,1
356,e179c5f4,1,0,1,1,0
357,e21d9049,1,1,1,1,1
358,e26a3af2,1,0,1,1,1
359,e3497940,1,1,1,1,1
360,e40b9e2f,1,1,1,0,1
361,e48d4e1a,1,1,1,1,1
362,e5062a87,0,0,0,0,1
363,e509e548,1,1,1,1,1
364,e50d258f,0,0,0,0,0
365,e6721834,1,1,1,1,1
366,e73095fd,1,1,1,1,1
367,e76a88a6,1,1,1,1,1
368,e8593010,0,0,0,0,0
369,e8dc4411,1,1,1,1,1
370,e9614598,0,0,0,0,0
371,e98196ab,1,0,1,0,1
372,e9afcf9a,0,1,1,1,1
373,ea32f347,0,0,0,0,0
374,ea786f4a,1,1,1,1,1
375,eb281b96,0,0,0,0,1
376,eb5a1d5d,0,0,0,0,0
377,ec883f72,1,1,1,1,1
378,ecdecbb3,1,1,1,0,1
379,ed36ccf7,0,0,0,0,0
380,ef135b50,0,0,1,1,1
381,f15e1fac,0,1,1,1,0
382,f1cefba8,0,0,0,0,0
383,f25fbde4,1,1,1,1,1
384,f25ffba3,0,0,0,0,0
385,f2829549,1,0,0,1,1
386,f35d900a,1,1,1,1,1
387,f5b8619d,1,1,1,1,1
388,f76d97a5,1,1,1,1,1
389,f8a8fe49,1,1,0,1,1
390,f8b3ba0a,0,0,0,0,0
391,f8c80d96,0,0,0,0,0
392,f8ff0b80,0,0,0,1,0
393,f9012d9b,1,1,1,1,1
394,fafffa47,1,0,0,0,0
395,fcb5c309,1,1,1,1,0
396,fcc82909,1,1,1,1,1
397,feca6190,1,1,1,0,1
398,ff28f65a,1,1,0,1,1
399,ff805c23,1,1,1,1,1
