task_id,task_name,Correct(1) / Wrong(0)_1,Correct(1) / Wrong(0)_2,Correct(1) / Wrong(0)_3,Correct(1) / Wrong(0)_4,Correct(1) / Wrong(0)_5,difficulty
318,ce602527,1,1,1,1,1,4
319,ce9e57f2,0,1,0,0,0,3
320,cf98881b,0,0,0,1,1,4
321,d037b0a7,0,1,1,1,1,3
322,d06dbe63,1,0,0,0,0,2
323,d07ae81c,1,1,1,1,1,4
324,d0f5fe59,1,1,1,1,1,2
325,d10ecb37,1,0,1,1,0,2
326,d13f3404,1,1,1,1,1,2
327,d22278a0,1,0,1,1,1,3
328,d23f8c26,1,1,1,0,1,3
329,d2abd087,1,1,1,1,1,3
330,d364b489,1,0,0,0,1,4
331,d406998b,0,0,1,0,1,3
332,d43fd935,1,1,1,1,1,5
333,d4469b4b,1,1,1,1,1,3
334,d4a91cb9,0,0,0,0,0,4
335,d4f3cd78,0,0,0,0,0,3
336,d511f180,1,1,1,1,1,5
337,d5d6de2d,1,1,1,1,1,3
338,d631b094,0,0,0,0,0,3
339,d687bc17,0,1,1,1,1,2
340,d6ad076f,0,0,0,0,0,3
341,d89b689b,0,0,0,0,0,3
342,d8c310e9,1,1,1,1,0,2
343,d90796e8,1,0,0,0,0,2
344,d9f24cd1,0,1,0,1,0,2
345,d9fac9be,1,1,1,1,1,2
346,dae9d2b5,0,0,0,0,0,2
347,db3e9e38,0,0,0,0,0,1
348,db93a21d,0,0,0,0,0,2
349,dbc1a6ce,1,1,1,0,1,2
350,dc0a314f,1,1,1,1,1,4
351,dc1df850,1,1,1,1,1,3
352,dc433765,1,1,1,1,1,2
353,ddf7fa4f,1,1,1,1,1,4
354,de1cd16c,1,1,1,1,1,3
355,ded97339,1,1,1,1,1,1
356,e179c5f4,1,0,1,1,0,1
357,e21d9049,1,1,1,1,1,1
358,e26a3af2,1,0,1,1,1,1
359,e3497940,1,1,1,1,1,1
360,e40b9e2f,1,1,1,0,1,5
361,e48d4e1a,1,1,1,1,1,1
362,e5062a87,0,0,0,0,1,1
363,e509e548,1,1,1,1,1,1
364,e50d258f,0,0,0,0,0,2
365,e6721834,1,1,1,1,1,2
366,e73095fd,1,1,1,1,1,2
367,e76a88a6,1,1,1,1,1,1
368,e8593010,0,0,0,0,0,2
369,e8dc4411,1,1,1,1,1,2
370,e9614598,0,0,0,0,0,1
371,e98196ab,1,0,1,0,1,1
372,e9afcf9a,0,1,1,1,1,1
373,ea32f347,0,0,0,0,0,1
374,ea786f4a,1,1,1,1,1,5
375,eb281b96,0,0,0,0,1,1
376,eb5a1d5d,0,0,0,0,0,1
377,ec883f72,1,1,1,1,1,1
378,ecdecbb3,1,1,1,0,1,1
379,ed36ccf7,0,0,0,0,0,1
380,ef135b50,0,0,1,1,1,3
381,f15e1fac,0,1,1,1,0,1
382,f1cefba8,0,0,0,0,0,1
383,f25fbde4,1,1,1,1,1,3
384,f25ffba3,0,0,0,0,0,1
385,f2829549,1,0,0,1,1,1
386,f35d900a,1,1,1,1,1,1
387,f5b8619d,1,1,1,1,1,1
388,f76d97a5,1,1,1,1,1,1
389,f8a8fe49,1,1,0,1,1,1
390,f8b3ba0a,0,0,0,0,0,2
391,f8c80d96,0,0,0,0,0,2
392,f8ff0b80,0,0,0,1,0,2
393,f9012d9b,1,1,1,1,1,1
394,fafffa47,1,0,0,0,0,2
395,fcb5c309,1,1,1,1,0,1
396,fcc82909,1,1,1,1,1,1
397,feca6190,1,1,1,0,1,1
398,ff28f65a,1,1,0,1,1,1
399,ff805c23,1,1,1,1,1,2
2,017c7c7b,0,1,1,0,0,2
57,28e73c20,0,0,0,0,1,2
,,,,,,,1
,,,,,,,5
,,,,,,,1
